brand,product_name,product_type,country_of_origin,price,category,quantity,unit,retinoids,ingredients
Tan-Luxe,Tan-Luxe Super Glow Body Hyaluronic Self-Tan Serum 150Ml,Serum,United Kingdom,43.75,Affordable,150.0,ml,Retinyl Acetate,"['Glycerin', 'Dihydroxyacetone', 'Hydrolyzed Soybean Fiber', 'Sodium Hyaluronate', 'Beta Vulgaris Root Extract', 'Brassica Oleracea Acephala Leaf Extract ', 'Sodium Hyaluronate', 'Rubus Idaeus Extract', 'Cocos Nucifera Fruit Extract', 'Persea Gratissima Oil', 'Salvia Hispanica Herb Extract', 'Vaccinium Myrtillus Extract', 'Theobroma Cacao Extract', 'Aloe Barbadenis Extract', 'Caffeinee', 'Palmitoyl Carnitine', 'Tocopheryl Acetate', 'Ascorbic Acid', 'Retinyl Acetate', 'Erythrulose', 'Cyclopentasiloxane', 'Polyacrylamide', 'C13-14 Isoparaffin', 'Glyceryl Acrylate/Acrylic Acid Copolymer', 'Dimethicon Crosspolymer', 'Dimethicon', 'Pvm/Ma', 'Laureth-7', 'Laureth-23', 'Laureth-4', 'Butylene Glycol', 'Ethylhexyl Glycerin', 'Parfum', 'Limonene', 'Geraniol', 'Hexyl Cinnamal', 'Benzyl Salicylate', 'Sodium Metabisulfite', 'Citric Acid', 'Tetrasodium Edta', 'Phenoxyethanol', 'Sclerotium Gum', 'Lecithin', 'Xanthan Gum', 'Triethylene Glycol', 'Potassium Sorbate', 'Ci 17200 (D&C Red No33)']"
Elizabeth Arden,Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 60 Pieces (Sleeved Version),Serum,United States,90.0,Luxury,0.0,0,Retinol,"['Cyclopentasiloxane', 'Dimethicon Crosspolymer', 'C12-15', 'Bht', 'C18-36', 'Camellia Sinensis Extract', 'Ceramide Np', 'Ceamide Ns', 'Cyclohexasiloxane', 'Dimethiconol', 'Ethylhexyl Cocoate', 'Helianthus Annuus Seed Oil', 'Laurylmethacrylate/Glycol Dimethacrylate Crosspolymer', 'Lecithin', 'Olea Europaea Fruit Oil', 'Palmitoyl Tetrapeptide-7', 'Palmitoyl Tripeptide-1', 'Persea Gratissima Oil', 'Phytosphingosine', 'Phytosteryl', 'Polysorbate-20', 'Propylene Glycol Dicaprylate', 'Retinol', 'Sorbitan Laurate', 'Tetrahydrodiferuloylmethane', 'Phenoxyethanol']"
Pixi,Pixi Glow Tonic Serum 30Ml,Serum,United Kingdom,32.5,Affordable,30.0,ml,Retinyl Palmitate,"['Glycerin', 'Glycolic Acid', 'Polysorbate-20', 'Ammonium Hydroxide', 'Hydroxyethyl Cellulose', 'Phenoxyethanol', 'Ethylhexyl Glycerin', 'Arganine', 'Cucumis Sativus Extract', 'Aloe Barbadenis Extract', 'Panax Ginseng Root Extract', 'Parfum', 'Tocopheryl Acetate', 'Ascorbic Acid', 'Ascorbyl Palmitate', 'Retinyl Palmitate', 'Triethanolamine', 'Cyclohexasiloxane', 'Hydrogenated Lecithin', 'Lecithin', 'Cyclopentasiloxane', 'Capric Triglyceride', 'Sucrose', 'Xanthan Gum', 'Bht', 'Disodium Edta']"
Elizabeth Arden,Elizabeth Arden Advanced Ceramide Capsules Daily Youth Restoring Eye Serum (60 Pack),Serum,United States,65.0,Luxury,0.0,0,Retinyl Palmitate,"['Cyclopentasiloxane', 'Isononyl', 'Isononanoate', 'Isododecane', 'Isopropyl Myristate', 'Isopropyl Palmitate', 'Capric Triglyceride', 'Camellia Japonica Extract', 'Dimethicon', 'Ceramide 1', 'Ceramide 3', 'Ceramide 6 Ii', 'Cholesterol', 'Cocos Nucifera Fruit Extract', 'Crithmum Maritimum Extract', 'Dimethiconol', 'Dimethyl Isosorbide', 'Humulus Lupulus Extract', 'Lecithin', 'Medicago Sativa Extract', 'Neoruscogenin', 'Palmitoyl Hexapeptide-14', 'Phytosphingosine', 'Polysilicone-11', 'Retinyl Palmitate', 'Ruscogenin', 'Squalene', 'Tocopherol']"
Nip+Fab,Nip+Fab Retinol Fix Serum Extreme 50Ml,Serum,United Kingdom,37.44,Affordable,50.0,ml,Retinyl Palmitate,"['Glycerin', 'Ammonium Acryloyldimethyltaurate/Vp', 'Dimethicon', 'Castor Oil', 'Phenoxyethanol', 'Butylene Glycol', 'Bisabolol', 'Benzyl Alcohol', 'Retinyl Palmitate', 'Parfum', 'Disodium Edta', 'Ethylhexyl Glycerin', 'Dehydroacetic Acid', 'Carbomer', 'Sodium Lactate', 'Benzyl Salicylate', 'Sodium Hydroxide', 'Polysorbate-20', 'Hexyl Cinnamal', 'Tocopherol', 'Linalool', 'Limonene', 'Aloe Barbadenis Extract', 'Palmitoyl Tripeptide-1', 'Palmitoyl Tetrapeptide-7']"
Peter Thomas Roth,Peter Thomas Roth Retinol Fusion Pm 30Ml,Serum,United States,69.38,Luxury,30.0,ml,Retinol,"['Cyclopentasiloxane', 'Squalene', 'Retinol', 'Tocopheryl Acetate', 'Ascorbyl Palmitate', 'Bisabolol', 'Lecithin', 'Potassium Phosphate', 'Pentylene Glycol', 'Polysorbate-20', 'Alcohol']"
Oskia,Oskia Super 16 Serum (30Ml),Serum,United Kingdom,112.5,Luxury,30.0,ml,Bakuchiol,"['Helianthus Annuus Seed Oil', 'Glycerin', 'Capric Triglyceride', 'Bakuchiol', 'Butylene Glycol', 'Dimethyl Sulfone', 'Boerhavia Diffusa Root Extract', 'Lupinus Albus Seed Extract', 'Chondrus Crispus Extract', 'Crithmum Maritimum Extract', 'Crithmum Maritimum Extract', 'Malus Domestica Fruit Extract', 'Sodium Hyaluronate', 'Opuntia Ficus-Indica Stem Extract', 'Retinyl Palmitate', 'Rosa Damascena', 'Disodium Edta', 'Glucose', 'Glyceryl Linoleate', 'Glyceryl Linolenate', 'Inulin Lauryl Carbamate', 'Lecithin', 'Sodium Ascorbyl Phosphate', 'Sodium Lactate', 'Sodium Pca', 'Sorbitol', 'Tocopherol', 'Tocopheryl Acetate', 'Xanthan Gum', 'Caprylyl Glycol', 'Ethylhexyl Glycerin', 'Phenyl Ethyl Alcohol', 'Phenoxyethanol', 'Citronellol', 'Geraniol', 'Linalool']"
Oskia,Oskia Super 16 Serum (30Ml),Serum,United Kingdom,112.5,Luxury,30.0,ml,Retinyl Palmitate,"['Helianthus Annuus Seed Oil', 'Glycerin', 'Capric Triglyceride', 'Bakuchiol', 'Butylene Glycol', 'Dimethyl Sulfone', 'Boerhavia Diffusa Root Extract', 'Lupinus Albus Seed Extract', 'Chondrus Crispus Extract', 'Crithmum Maritimum Extract', 'Crithmum Maritimum Extract', 'Malus Domestica Fruit Extract', 'Sodium Hyaluronate', 'Opuntia Ficus-Indica Stem Extract', 'Retinyl Palmitate', 'Rosa Damascena', 'Disodium Edta', 'Glucose', 'Glyceryl Linoleate', 'Glyceryl Linolenate', 'Inulin Lauryl Carbamate', 'Lecithin', 'Sodium Ascorbyl Phosphate', 'Sodium Lactate', 'Sodium Pca', 'Sorbitol', 'Tocopherol', 'Tocopheryl Acetate', 'Xanthan Gum', 'Caprylyl Glycol', 'Ethylhexyl Glycerin', 'Phenyl Ethyl Alcohol', 'Phenoxyethanol', 'Citronellol', 'Geraniol', 'Linalool']"
Murad,Murad Retinol Youth Renewal Serum Travel Size,Serum,United States,31.25,Affordable,0.0,0,Retinol,"['Cyclopentasiloxane', 'Isopropyl Palmitate', 'C14-22', 'Polymethylsilsesquioxane', 'Dimethicon', 'Propanediol', 'Glyceryl Stearate', 'Peg-100 Stearate', 'Shea Butter Ethyl Esters', 'Retinol', 'Hydroxypinacolone Retinoate', 'Ceramide Np', 'Sodium Hyaluronate', 'Solanum Lycopersicum', 'Swertia Chirata Extract', 'Squalene', 'Punica Granatum Seed Oil', 'Tocopheryl Acetate', 'Glycine Soja Extract', 'Urea', 'Yeast Amino Acids', 'Trehalose', 'Inositol', 'Taurine', 'Betaine', 'Glycerin', 'Capric Triglyceride', 'Dimethyl Isosorbide', 'Silica', 'Ethylhexyl Palmitate', 'Silica Dimethyl Silylate', 'Butylene Glycol', 'Lecithin', 'Ammonium Acryloyldimethyltaurate/Vp', 'C12-20', 'Cetyl Palmitate', 'Laureth-23', 'Polysorbate-20', 'Trideceth-6', 'Synthetic Fluorphlogopite', 'Phenoxyethanol', 'Ethylhexyl Glycerin', 'Chlorphenesin', 'Disodium Edta', 'Sodium Hydroxide', 'Tris (Tetramethylhydroxypiperidinol) Citrate', 'Sodium Benzotriazolyl Butylphenol Sulfonate', 'Titanium Dioxide', 'Ci 14700', 'Alpha-Isomethyl Ionone', 'Citronellol', 'Parfum']"
Murad,Murad Retinol Youth Renewal Serum Travel Size,Serum,United States,31.25,Affordable,0.0,0,Hydroxypinacolone Retinoate,"['Cyclopentasiloxane', 'Isopropyl Palmitate', 'C14-22', 'Polymethylsilsesquioxane', 'Dimethicon', 'Propanediol', 'Glyceryl Stearate', 'Peg-100 Stearate', 'Shea Butter Ethyl Esters', 'Retinol', 'Hydroxypinacolone Retinoate', 'Ceramide Np', 'Sodium Hyaluronate', 'Solanum Lycopersicum', 'Swertia Chirata Extract', 'Squalene', 'Punica Granatum Seed Oil', 'Tocopheryl Acetate', 'Glycine Soja Extract', 'Urea', 'Yeast Amino Acids', 'Trehalose', 'Inositol', 'Taurine', 'Betaine', 'Glycerin', 'Capric Triglyceride', 'Dimethyl Isosorbide', 'Silica', 'Ethylhexyl Palmitate', 'Silica Dimethyl Silylate', 'Butylene Glycol', 'Lecithin', 'Ammonium Acryloyldimethyltaurate/Vp', 'C12-20', 'Cetyl Palmitate', 'Laureth-23', 'Polysorbate-20', 'Trideceth-6', 'Synthetic Fluorphlogopite', 'Phenoxyethanol', 'Ethylhexyl Glycerin', 'Chlorphenesin', 'Disodium Edta', 'Sodium Hydroxide', 'Tris (Tetramethylhydroxypiperidinol) Citrate', 'Sodium Benzotriazolyl Butylphenol Sulfonate', 'Titanium Dioxide', 'Ci 14700', 'Alpha-Isomethyl Ionone', 'Citronellol', 'Parfum']"
